espn_team_id,region,nickname,abbr,logo
25,Anaheim,Ducks,ANA,https://a.espncdn.com/i/teamlogos/nhl/500/ana.png
1,Boston,Bruins,BOS,https://a.espncdn.com/i/teamlogos/nhl/500/bos.png
2,Buffalo,Sabres,BUF,https://a.espncdn.com/i/teamlogos/nhl/500/buf.png
7,Carolina,Hurricanes,CAR,https://a.espncdn.com/i/teamlogos/nhl/500/car.png
17,Colorado,Avalanche,COL,https://a.espncdn.com/i/teamlogos/nhl/500/col.png
9,Dallas,Stars,DAL,https://a.espncdn.com/i/teamlogos/nhl/500/dal.png
6,Edmonton,Oilers,EDM,https://a.espncdn.com/i/teamlogos/nhl/500/edm.png
8,Los Angeles,Kings,LA,https://a.espncdn.com/i/teamlogos/nhl/500/la.png
30,Minnesota,Wild,MIN,https://a.espncdn.com/i/teamlogos/nhl/500/min.png
10,Montreal,Canadiens,MTL,https://a.espncdn.com/i/teamlogos/nhl/500/mtl.png
14,Ottawa,Senators,OTT,https://a.espncdn.com/i/teamlogos/nhl/500/ott.png
15,Philadelphia,Flyers,PHI,https://a.espncdn.com/i/teamlogos/nhl/500/phi.png
16,Pittsburgh,Penguins,PIT,https://a.espncdn.com/i/teamlogos/nhl/500/pit.png
20,Tampa Bay,Lightning,TB,https://a.espncdn.com/i/teamlogos/nhl/500/tb.png
129764,Utah,Mammoth,UTAH,https://a.espncdn.com/i/teamlogos/nhl/500/utah.png
37,Vegas,Golden Knights,VGK,https://a.espncdn.com/i/teamlogos/nhl/500/vgk.png
